x,y
-3676.381,-4479.672000000001
-3676.691683454007,-4436.9553110393745
-3654.79646504858,-4380.135770864991
-3627.8490630114743,-4326.931190526042
-3596.5644664019824,-4279.118860948211
-3564.556370273643,-4234.831691076757
-3534.3139458007145,-4190.2760364777605
-3501.631809251891,-4145.930292740021
-3473.3695265599977,-4098.834113590673
-3453.8729296940833,-4046.670567744582
-3441.181927122532,-3989.147418316955
-3432.11472326255,-3927.9758487200684
-3423.742498898423,-3868.2735949165685
-3413.8241589259183,-3809.0140958834886
-3404.8648908869022,-3749.232874197201
-3398.5085768044437,-3689.101728662338
-3396.1588677863865,-3627.7536107427522
-3393.746536459341,-3563.8183682024796
-3389.8304192934347,-3498.7936155497623
-3386.704731343933,-3445.0988635813083
-3373.229944782445,-3387.7681248934846
-3356.027573983825,-3332.8088577923645
-3334.874693590385,-3278.008827076909
-3314.7042494032185,-3222.5081006464625
-3291.0359580444683,-3165.060592433959
-3263.953530499378,-3110.3720889021242
-3233.881798506017,-3060.0450285710986
-3200.0949803427347,-3012.9065135788055
-3162.0953970560004,-2968.3969551670702
-3125.0762845259915,-2926.8731876736406
-3091.0649613715286,-2890.1337438031173
-3060.5257133508226,-2847.493666648682
-3034.081143531991,-2799.0745751226723
-3008.9070750135675,-2748.720013574975
-2984.2108913671173,-2698.6972199345223
-2960.1180752825085,-2647.9838473459763
-2939.477438698678,-2599.156096869287
-2923.4534901971397,-2553.7089356493866
-2911.3096526757904,-2510.51755336338
-2901.061476725688,-2465.7550970027573
-2886.032033563272,-2419.483339831161
-2873.4583405657218,-2372.3279188712618
-2859.240588274773,-2330.8678399019536
-2834.264788932599,-2291.7233905110324
-2803.6453038382815,-2255.7153466803975
-2766.644759845445,-2221.907237909252
-2725.3122337776217,-2195.39758299735
-2680.4739882377453,-2169.7798519331695
-2639.3982274745163,-2151.9661825114244
-2602.70032238127,-2141.706126258042
-2569.973967985312,-2134.4199313924214
-2536.545316349268,-2125.635431905223
-2504.4744145107793,-2120.5165793905253
-2469.3026940333725,-2111.3696299940602
-2435.1748578079314,-2096.2414712232826
-2400.189183723476,-2081.2983690380847
-2362.40118888197,-2068.0103253946186
-2320.6305386865474,-2055.0830894425158
-2279.8736212628182,-2044.1695411849864
-2235.6734170929644,-2031.2498968211971
-2191.674266145756,-2015.81323831392
-2147.479746460572,-1999.5070398236278
-2107.0597725642942,-1985.4431713325998
-2071.178852756318,-1970.9655647392692
-2038.2531665910271,-1953.8080800430153
-1999.0162023075302,-1941.4257025278707
-1951.369265045472,-1943.2861362803687
-1897.4021970552703,-1957.7262533785458
-1844.155444807533,-1981.050203800498
-1798.3031441999326,-2006.2269150134694
-1756.5844468786172,-2030.9184586364054
-1713.5889320318074,-2057.236305027631
-1672.4416589489006,-2088.9085710558466
-1636.7867842903352,-2126.090188971042
-1604.0194048689202,-2165.742606941435
-1575.7856744340581,-2203.3257240090684
-1550.7304725633564,-2237.159710446794
-1518.5604407304672,-2266.94812357758
-1476.7130327741154,-2292.319271755433
-1432.8833086118973,-2313.950987808139
-1393.589046266158,-2332.945460729073
-1355.560267745299,-2352.4787706943653
-1317.164908063249,-2374.743458116261
-1278.7896578165994,-2397.8119211106377
-1239.6166373012754,-2418.87372751118
-1198.156903694568,-2436.194328397202
-1155.444735491161,-2451.001384454739
-1107.703284436086,-2465.8858615369663
-1065.6884374868037,-2476.750718691275
-1038.587968759842,-2488.6574780708684
-1028.1276544089087,-2506.4212286776956
-1010.5029449563025,-2528.9742569119076
-987.7399896230099,-2549.9023738628316
-966.8789667152188,-2569.273509801104
-945.6096829107786,-2593.5758854569494
-923.3971760715532,-2624.4703695375583
-900.8781850984421,-2659.068093848611
-885.5339296967013,-2694.3457025795838
-874.2972114207006,-2730.6985839219165
-862.3488232126695,-2766.0488272791786
