x,y
-247.83316937980064,-3944.461772595001
-271.87465420925093,-3963.9070865133017
-284.3973037568077,-3981.5417229998784
-297.1707793940624,-3998.0195419553625
-310.6637225857482,-4013.7247189751088
-324.6674176069699,-4028.719832110105
-339.1951175143084,-4043.3292190302463
-354.1488423501458,-4057.44642223963
-369.93996011274686,-4071.226175220785
-386.4926055234204,-4084.59493764413
-403.33820792265084,-4097.459045282913
-419.99634859717816,-4110.305742535536
-436.3006650398564,-4123.348414521639
-453.23326650933353,-4136.040377136376
-471.76940267371367,-4148.278814819884
-491.51702122520913,-4160.148311379448
-511.8072465232381,-4172.466808270572
-531.6829376061075,-4186.073915812304
-550.9118922748596,-4200.953820609432
-569.604559784739,-4216.904397840564
-588.0877865449315,-4233.776817825209
-606.6884989215471,-4251.501451914243
-625.259186838162,-4270.214301664871
-643.930106727204,-4289.641694765499
-663.220365775347,-4309.4303665452935
-683.0788042895593,-4329.547490769022
-703.1052378247573,-4350.012857556156
-723.2708337693443,-4370.6827822195455
-743.1375858973227,-4391.169741467146
-763.3803249774903,-4411.229258979983
-783.7459127960932,-4431.136122414244
-803.9828630206955,-4450.7785633652875
-824.1467277661878,-4470.00137708483
-842.909782448795,-4489.0653193395865
-861.8807213858612,-4507.37903071909
-889.0141407284935,-4524.072958332825
-910.9960975414397,-4539.038425138873
-929.5218135596463,-4552.661470159653
-944.9392473287937,-4565.674606959081
-966.1447182951638,-4578.171639010004
-988.0872611025937,-4590.201832309974
-1010.9746748621433,-4601.772932769182
-1034.7620222322987,-4613.093857090574
-1059.1929595895215,-4624.313674567365
-1084.0578211614325,-4635.384589836955
-1108.9065713478751,-4646.129757029958
-1132.8776311517115,-4656.397300963177
-1158.9049654065107,-4666.607984265393
-1186.195032390818,-4676.79111896435
-1209.3764468179309,-4685.666295975584
-1232.532209764911,-4693.744250158627
-1256.0804001244621,-4701.217405579651
-1279.6981936118623,-4707.5447661393955
-1304.1641727204455,-4713.7272054124205
-1329.6585445382743,-4719.988668962032
-1356.084182705814,-4724.763644766742
-1384.0803713808148,-4730.72301069381
-1412.7804552229945,-4740.1354139781915
-1440.8165207863715,-4751.874384530064
-1467.76621178215,-4765.352579796284
-1493.914692176359,-4779.641743642375
-1519.7129277063984,-4793.962242018668
-1545.6404298465627,-4808.051599591251
-1572.1405204774667,-4822.048605198314
-1599.269266456664,-4836.019773225571
-1627.1363143386393,-4849.816227131034
-1655.542082287725,-4863.278105022153
-1684.4679805627186,-4876.4534882237795
-1714.2799418819682,-4889.975687195429
-1744.8431249776017,-4904.418900102676
-1775.3126004966857,-4919.837273572157
-1805.3812304902644,-4936.16038258522
-1835.3390512889714,-4953.354188421195
-1865.7743865857321,-4971.202465065433
-1897.1521824469135,-4989.337305563328
-1929.6409116671678,-5007.226555227319
-1962.7538753244696,-5024.446753627022
-1995.784037022125,-5040.534106037327
-2028.2281017391688,-5055.1997619702215
-2060.056294720266,-5068.616081746706
-2091.1820851446796,-5081.136715576163
-2121.8847773039943,-5093.083422975731
-2152.3618852310165,-5104.897812854134
-2182.586341902383,-5116.997376067918
-2212.368323236878,-5129.531501018297
-2242.0090949495916,-5142.2464295201125
-2271.6598904452694,-5155.225641698457
-2301.615046682753,-5168.576602291701
-2332.549424547765,-5182.315737282716
-2363.07255577565,-5195.625403642351
-2392.003182680358,-5207.350925086814
-2420.2941726010663,-5217.283268358318
-2449.139181055698,-5226.080613971816
-2479.5666182872274,-5235.211340148977
-2510.7323678072416,-5245.585181316334
-2541.338096527939,-5257.488698929449
-2570.357993793134,-5270.844451317348
-2597.7744897877105,-5285.3792067508275
-2624.0623361924117,-5300.970678553835
-2649.9671799631697,-5317.617497834225
