x,y
-4970.099,-4587.253
-4924.901423324344,-4485.918813578787
-4881.601771668042,-4385.20164656504
-4837.7838587965225,-4284.511465295891
-4795.456788380332,-4190.131872265347
-4744.0797971515085,-4106.9969753521345
-4685.933771821621,-4031.4399889065157
-4626.138699261721,-3956.3734660094565
-4557.267540122884,-3877.0859834449066
-4485.304127639026,-3791.2109863069973
-4418.384174859123,-3697.614455321892
-4358.865020356207,-3606.260369284025
-4301.808364720036,-3507.557522244589
-4230.424684099699,-3404.440771963208
-4150.066865963798,-3292.785045863788
-4059.8160080785606,-3189.672858691432
-3974.1609956492266,-3097.6291439297966
-3888.134049896075,-3007.2185067997207
-3797.4077519642656,-2915.4586748901834
-3713.704541956724,-2822.9352917761166
-3639.558983250995,-2718.7037841013425
-3570.958645890474,-2615.437239900155
-3499.974273696506,-2513.5808938977025
-3424.147936273171,-2410.3162764538047
-3347.7149371278624,-2315.7351084973457
-3263.4654692887643,-2235.324724074032
-3178.3904547788857,-2160.7612714294737
-3089.366567861819,-2083.489474063353
-2993.008097924321,-2003.5551713644977
-2907.641673707864,-1924.4842739410967
-2835.724334343191,-1843.800247780964
-2765.019243159496,-1761.5965795700859
-2695.7009298645153,-1684.5533783072187
-2618.2542992945146,-1601.3974457285012
-2538.552873070836,-1525.4809866668331
-2450.153593496908,-1460.1369795228331
-2361.567742400878,-1398.0918473977247
-2270.6206314923643,-1336.1137906904435
-2170.0955011003275,-1273.8923005315005
-2076.4295141677467,-1212.9299277290024
-1991.8793474012361,-1150.5285917008123
-1909.586301825323,-1091.857088649279
-1827.0929242798368,-1034.5999431198582
-1740.9336064313595,-974.597067207772
-1653.1009949321488,-914.7142592923939
-1554.974481556353,-863.7204437988818
-1456.2361034527828,-819.8871563950258
-1355.0794301587346,-774.7136000204534
-1251.728399264867,-729.1520335639639
-1156.3621155923981,-683.8521602374258
-1068.2998900871357,-633.0376105841342
-989.0504528465849,-581.8857532470092
-911.3578081676369,-532.7263936723139
-833.4732615217006,-482.77817368480294
-757.8955993148057,-431.8681368387498
-678.1729860759679,-384.9357735817192
-596.9855823392704,-343.68526359823295
-516.1241124858852,-303.85989210047944
-435.82156268021424,-267.77301923581996
-354.7954247995812,-233.23219685218203
-280.4710779673211,-194.51259706622434
-209.07044161877974,-152.79790892775642
-144.78462682517167,-113.42001102093218
-79.30210085664416,-73.31173478545769
-13.08842559867984,-25.40157369585545
49.81915431400819,20.759117706628828
113.30534031900856,59.98853199622545
177.06005235534556,95.4085259498297
232.02629271469704,126.75110160303198
281.2262022103125,153.73018940749705
324.24965925420565,178.6823300636161
359.2709315328262,199.6972482257275
391.28670303265716,218.32887327443154
417.87544443543715,233.54517757051835
439.24429093303644,245.3805954579859
455.2012500594177,253.07361439458242
463.35880323237075,260.19476076728984
466.9592610467706,265.2363685282437
467.7177275341545,268.3087809938704
466.57331405509774,270.8253979615793
464.8830556431053,273.38274335449097
463.1055966632339,275.1336824414003
460.77100679161526,274.2646427475011
458.69484842174046,272.25624060315346
457.14595509128765,270.6885038400041
455.7640999136819,269.6657418095194
455.37820295202584,269.8661511975409
453.8704205011277,272.11868887211256
452.4997301801677,274.40104644082794
452.1995430916273,275.5285400591625
451.1961082931482,276.28784362022407
450.2281258305296,277.1074465291007
450.28831909281337,277.186301585899
450.4547697907353,277.2897426315997
450.52770132931124,277.44026387015606
450.33333027756737,277.2454687321965
449.7031906014413,276.8595966097736
448.70102900019515,275.1303082694109
448.98026701668437,273.57757878918784
449.8138734752604,272.18304467030026
