x,y
739.7491756050009,-329.106043405
784.1193931769299,-323.4440223464893
826.5720614333458,-314.31039055445444
868.6261526040471,-300.53293410296305
908.8223078028643,-281.3168398764539
946.1538707847494,-258.7287945940578
981.3588128815625,-232.73937703044984
1014.9884266065308,-202.52525757559917
1047.5862407588509,-168.64936551594593
1079.6613694356288,-131.68621738436235
1111.7892275492668,-92.88167312491753
1144.799725428048,-53.269158468819825
1180.4377092321824,-14.412133208009447
1219.476615979221,22.402726974630085
1260.1706993504497,56.7888779155867
1302.0959630774557,89.780798053434
1345.9061002367052,122.88907378136645
1391.5860548674912,156.76009389874682
1438.6351030179858,190.85465718487632
1486.711588102767,225.55331666583277
1537.0927057500826,262.6575227748499
1587.399855561541,301.37995323178575
1634.0937525369643,341.7373581842109
1677.244427988828,383.71581268299997
1716.9921333654625,425.9689544703976
1754.9665333043517,468.2826078219023
1793.0883205646032,511.7894925965522
1831.9714597222817,556.9332896765983
1871.7784637116104,604.1646486367683
1911.77255287582,654.6571750536369
1951.2937253922516,706.9240461930882
1992.3103786671086,757.4062233951628
2038.5405890782363,804.338624866591
2087.440100182742,848.4373504388894
2137.3787911395225,890.5574004943891
2188.900027518647,930.9260458992824
2240.4799217325835,969.2085084951889
2292.4145834793712,1006.0072247331852
2345.7219786501364,1043.286360117106
2400.6378400350413,1083.0623115447256
2454.225073321689,1124.4913174410326
2505.5375319971113,1165.5040004872872
2556.2599864595827,1206.2144360668005
2603.8624021106907,1247.3295569537981
2650.7846527151164,1289.5352530495932
2699.048524162436,1332.7406944096094
2748.7175747071624,1377.1286514839073
2799.2473277012996,1422.5606141025355
2850.729920854086,1469.9268430450488
2904.6289438129443,1515.9844942089153
2962.5360474036843,1556.7635557461829
3020.458552090399,1592.5078810149882
3077.1858540621283,1626.5821144733588
3134.9614621751048,1660.679405732908
3193.817375519818,1694.6338638145253
3253.2034257541445,1727.5475128145433
3313.6017614294815,1758.9183974625605
3375.2081175796015,1790.5150315918618
3431.8656635016146,1823.297943185913
3486.28544309633,1857.7260632738944
3537.193061510625,1891.5454657815685
3588.53928863576,1926.1024361159407
3638.963344534117,1961.9654336257227
3688.81238135123,1999.7000167783979
3738.6114962156657,2039.0442534231063
3788.197217769361,2079.287134261038
3837.771386271718,2120.34566473457
3888.7357235540157,2161.5566722429057
3944.6164025688113,2200.816442461378
4002.57130916492,2237.8508541929873
4060.064116822877,2273.0114171280875
4117.862022749437,2307.4799086811095
4176.176163649517,2341.6037208704306
4234.31833403112,2374.711124739224
4292.176780610038,2407.2080100609046
4350.697510300746,2440.848999600918
4408.244870430998,2476.001389512759
4464.370393982548,2512.7798627437337
4519.385226963556,2549.8719669361976
4573.443800428731,2588.4302381232756
4626.391837400813,2627.031778463363
4678.308749700262,2665.838705401121
4731.60505185934,2705.2554326947534
4787.456763838941,2744.199008337005
4845.244922871877,2782.0002874033617
4904.6707699103,2822.4873384531784
4961.248490428045,2860.13050651786
5020.129280947101,2894.9159357405606
5079.232848905227,2926.3815850108494
5137.474535009163,2955.705240223247
5195.468866421819,2983.796913128701
5250.817185448221,3008.3138599533563
5299.26763098822,3023.8856725894952
5345.3919820543415,3034.241546315666
5395.153055535879,3045.9140883074624
5445.853612392045,3059.269227685329
5491.399551481982,3070.720130861295
5543.839846582258,3090.069385105153
5595.705579918176,3113.435585895753
5647.4018556394685,3140.061780310779
