x,y
168.74416178800038,1625.8585379840013
184.53054131701722,1675.9740410037778
201.36420711183723,1726.4974721150988
220.83943532883018,1776.6097423882784
244.0992363345199,1825.63778190233
268.8743948120478,1872.2725026812675
293.29108059996554,1916.87718727391
321.9960984989333,1962.5195647286569
360.4927714810287,2008.8365181782267
407.9979703967099,2051.8369655859037
459.4598393197345,2090.6996146679867
513.2349795732772,2126.8646220096393
568.3516577069341,2161.5565584674714
626.5925672106129,2196.9753445144215
689.53158415968,2230.1346290366005
746.1226371218155,2260.8838699157477
804.1474406878058,2294.682046705186
862.7938377380046,2325.5934147231083
913.4814273637991,2349.934991471935
951.8654880138677,2378.832443626442
976.7331993137857,2419.7368910274395
996.0904492498178,2464.398201491751
1020.3270558493726,2509.321952690233
1050.8098663161481,2553.063720357855
1084.9007017755587,2596.7472437168785
1123.5853947039557,2643.9292184451124
1161.8672051714148,2694.3086742864302
1195.08131103805,2747.6931442286736
1225.7388031642872,2801.7288105702946
1254.7473045096476,2855.570011517175
1279.776354074689,2907.716486517656
1307.6130792222166,2956.95406371844
1345.5058184869915,3002.4620290554158
1389.1430506541162,3041.0138234033957
1434.20332293212,3074.3953145243727
1478.2815203980604,3106.8198025010734
1520.730021965452,3141.332622716034
1560.4500114740772,3179.0735387143714
1597.523794409608,3217.6986005089198
1635.901155390511,3254.460521948178
1677.77333647566,3291.9784737382947
1724.6305658311094,3327.6641480380063
1766.660416904266,3362.2524925009648
1794.1274020091573,3398.0277669603224
1812.827378366941,3443.4337209783935
1825.1183565044262,3493.306708008382
1832.939377523489,3548.012524442197
1836.7085226345823,3601.47217173507
1838.0334343170127,3652.9819021351036
1841.6961256814425,3701.579461350649
1848.9706916071395,3747.2567184847658
1862.361086346073,3792.9301879681693
1880.0008781918768,3841.51190147375
1903.3359637811898,3890.4076457298797
1928.122335621188,3936.919840194465
1951.7995420305563,3979.1778373752854
1977.8893468585122,4022.049501378983
2008.069963530169,4066.9332523363278
2041.9367915386772,4113.585991216825
2076.2964587705455,4163.090976842914
2110.4942183376897,4211.8804493711405
2148.7239029674306,4255.546189975472
2195.6046320052383,4293.472360017302
2250.744239635736,4327.113208584004
2309.681161058775,4357.96881009293
2367.447519769838,4386.979420084564
2424.833232712135,4414.772991321213
2478.675020233526,4435.525673464882
2523.223689642971,4455.098358855968
2562.856063800675,4483.5995530869295
2599.9068479954076,4516.905717130259
2637.508277781648,4553.192969892888
2675.9790000359926,4591.012155030648
2713.596129725708,4627.271614084637
2750.413573218569,4662.808505088809
2788.6155824498564,4703.796433031312
2826.1257381155147,4746.41044762382
2865.4450812356017,4792.5087924229
2906.6088063225566,4840.772775245471
2947.308014650012,4888.0419872677885
2984.53754112008,4933.147009429988
3025.5307287805335,4978.576491498881
3073.661980778516,5023.8503016083305
3126.1873602122328,5067.452969809556
3178.869359524401,5108.654045947051
3230.6565630508203,5147.377369875056
3282.329315748791,5185.44515924171
3331.9653003000453,5221.767112294781
3380.452695991983,5256.897217778197
3428.5097487035555,5290.291420506776
3476.075801839539,5321.9123768440895
3522.230086093264,5348.984063122194
3561.95145599129,5372.584960907973
3597.0768676605067,5401.541065057564
3629.166009224752,5438.372435010817
3661.292535916428,5481.404136590609
3694.469912576258,5529.395687765719
3726.5760201639964,5578.6387975108955
3758.2544777137846,5629.440294724159
3788.520054309056,5681.956652011533
