x,y
-242.481382432,-2556.4617840928
-239.15341849306324,-2525.5389732831522
-243.18187348536503,-2502.251298695878
-259.71614442155436,-2485.441772717752
-282.9972233681726,-2469.3235384579743
-309.25570853872284,-2447.538910288435
-340.4950929440108,-2420.74658500354
-378.8361015921579,-2385.670848302889
-420.53600060476106,-2344.701634992675
-461.7884581977333,-2301.145610030804
-506.97366752704073,-2257.7631422777513
-556.9388732788858,-2215.3432902508935
-612.0559115492299,-2177.7662547266987
-674.6870872508006,-2147.3382661247633
-738.0274220427234,-2121.0130750170097
-793.4938860721752,-2096.743859070137
-839.3801526547248,-2074.002235590521
-887.69316707264,-2054.999405108192
-944.4322638038992,-2040.7745522334424
-1008.4460862734225,-2030.8515076398296
-1072.1899942678542,-2025.711009067676
-1131.6192039938267,-2023.9114694960424
-1189.5065877830752,-2028.3193826556255
-1250.957689341073,-2038.0364165661751
-1314.2759936052375,-2045.2976878491868
-1367.6052312949146,-2044.8778851706847
-1426.024906957448,-2042.4985249285467
-1487.0956271641348,-2034.7953702543286
-1543.872315953224,-2021.9293439078601
-1600.1899263989285,-2007.581617570182
-1660.054443803293,-1994.996125539751
-1726.0738601980988,-1983.9856850330045
-1794.4827521838238,-1973.5872333332718
-1862.3019418695196,-1964.5082407424577
-1931.5078302496845,-1956.3125885054433
-1992.4338552467227,-1946.0836767144922
-2048.976378125219,-1936.16302232431
-2114.2311161501743,-1936.1370971918927
-2178.8521541428368,-1944.4629434958208
-2240.9814059579844,-1961.6634859895642
-2299.569522081394,-1987.0321820452043
-2356.102797620658,-2018.656303829277
-2410.2434349776054,-2058.9871189593273
-2461.3675979750833,-2105.532097948231
-2508.1885138868183,-2154.067839570265
-2547.7234603612983,-2195.6829812708615
-2584.492950051759,-2227.4147387286403
-2629.3971734008273,-2258.3068044664433
-2678.256612679546,-2281.6569702541965
-2728.0433298275293,-2298.9299817720653
-2779.156858947808,-2317.593147608781
-2833.1997762019737,-2342.4452649136506
-2891.1550340953636,-2374.3092391307005
-2949.184856129152,-2405.979281199487
-3004.6265568630947,-2437.513677358006
-3058.1349756011623,-2466.8210059665253
-3111.432941940093,-2493.9769935522213
-3163.216765026051,-2517.9705060470847
-3215.9933921307397,-2551.0084246121214
-3261.9342445859897,-2591.9802955035493
-3302.0506508595245,-2640.910618740602
-3335.0919493908345,-2692.48107468975
-3363.5168135737636,-2744.5347819527374
-3390.6769604964265,-2800.0958573100856
-3419.1813499404157,-2859.9845451578035
-3450.6769221344703,-2923.587426205229
-3478.9816370458852,-2981.280221657266
-3505.902772795814,-3029.313298566463
-3542.4399990816823,-3077.5773231437165
-3586.1288391897206,-3118.762056993514
-3636.587275727727,-3152.3084660553172
-3699.4027192573367,-3180.8531605607177
-3772.609129365158,-3208.387176687759
-3851.665813429155,-3242.6830309835736
-3928.524440012095,-3283.0938322040033
-3990.156970372406,-3316.0199128884037
-4041.5358116949824,-3341.771329769519
-4085.59030804117,-3359.7176392002602
-4117.36463622489,-3387.3951296998166
-4152.101273558115,-3431.5870761080137
-4183.040716022968,-3479.890887751596
-4210.038059077177,-3526.2216228643038
-4231.767577333688,-3572.1524140722677
-4247.243499698531,-3620.1801372829423
-4259.94730459797,-3674.216966485195
-4271.877824227967,-3734.058499578635
-4284.172968303654,-3788.397783720857
-4294.778231917732,-3831.16534633422
-4303.824413345762,-3875.727435975747
-4318.55170933052,-3924.7042886639933
-4341.733677875149,-3971.983711928178
-4370.758767157491,-4013.12665302418
-4403.40415189392,-4048.521026681619
-4440.441359100849,-4076.99324721918
-4483.523841001855,-4108.374587626182
-4532.141940635997,-4151.5672318578645
-4584.2721243851865,-4206.2989778295005
-4633.2201026492,-4254.029926825451
-4671.205636897962,-4273.873544847152
-4699.201275518951,-4276.818052817857
