x,y
-5265.463000000002,-3606.373
-5212.904727820241,-3542.832598665752
-5178.613643062837,-3462.9750407760034
-5163.595144278173,-3383.4644567019486
-5146.588445718556,-3286.17272679925
-5132.688998259121,-3170.103214507914
-5138.376373953266,-3061.9589191855566
-5165.271297816632,-2974.731416353899
-5186.994324281238,-2888.298641648842
-5163.292755043967,-2807.1468709017327
-5148.190474023007,-2758.0561463922368
-5137.475713651358,-2694.2393578131637
-5091.115879523622,-2611.564500778987
-5039.202157916882,-2541.882775154293
-4976.386940413254,-2493.4143199847117
-4903.886111791251,-2442.2883415124566
-4850.802025297738,-2343.992179635287
-4841.286552391474,-2266.2284960963434
-4809.945678613326,-2177.546449073492
-4778.409159250739,-2059.42972029517
-4757.398547372302,-1941.3606839779688
-4748.1432441037,-1846.019499943906
-4734.368398685103,-1755.1816760098097
-4680.9742476341635,-1664.392779076675
-4628.161898912871,-1597.3283052380348
-4565.7081855342385,-1529.5266446195137
-4488.759316407861,-1463.6016267980642
-4401.771211827502,-1412.7536663262727
-4329.571061202878,-1392.4060703759762
-4256.135596842409,-1360.9795964758384
-4195.588047619455,-1275.5002366217986
-4160.35111653236,-1180.0681521856043
-4117.576189142658,-1075.5371770202037
-4071.7776421735734,-951.9353774456196
-4038.9802917876887,-844.538885946922
-4000.84917249029,-761.428181359486
-3923.0751867120816,-688.7313459288293
-3847.469714056221,-623.3566720992325
-3748.3981646657176,-542.9981679672566
-3690.3396826505727,-491.897992146416
-3630.5202849549632,-467.47341907399584
-3545.324880126179,-442.00344937548203
-3469.4367096091896,-373.08839124145055
-3415.7091118519256,-280.2022866444403
-3337.9021092249077,-197.94676289321401
-3301.2185625173797,-108.91114844787735
-3227.4560544523233,-19.2164313814682
-3193.3573413822955,54.689352405211224
-3114.6557896311265,129.86384632902207
-3019.357389029065,190.72169318917065
-2919.349202759584,249.04566438111124
-2810.9072680177565,302.27987829389883
-2696.592081031389,339.6772059952456
-2584.857241032882,367.855057986708
-2489.1906817139084,410.3955884314667
-2403.4904888122674,471.1373203221716
-2333.3137659727995,539.2729753004807
-2261.094357790551,616.4767388330444
-2173.897414058538,706.074151936326
-2099.689618441615,788.3510410213194
-2031.8066069995052,856.2056663757104
-1941.7016569430543,915.5585809375153
-1848.8785049240248,969.2562023118603
-1743.3012192925423,1025.6991984085196
-1639.8294668290957,1068.0715883353594
-1555.2965531488505,1092.4405429278124
-1489.7131911166407,1124.424461992488
-1422.3206716506863,1190.2825433969333
-1341.4967098101129,1269.0542919744755
-1250.4116089188922,1360.054622254103
-1165.84625575594,1460.9316778723176
-1094.7353189036435,1551.93901784868
-1028.235469949739,1622.7693457729692
-942.5071703571178,1635.828663011384
-848.7765959700386,1657.0004296436555
-761.4425963011585,1744.9784762075576
-622.8757198846771,1873.724744232213
-525.4659094925555,1914.193903871963
-443.887766076691,1943.5347043726015
-338.88638383898234,2027.668307135862
-282.9569620563148,2116.769590619969
-209.09528441254733,2223.7160744780895
-127.42118560615553,2344.945200671304
-72.14287989231367,2454.2573215401194
-42.575117641034616,2529.4247163887494
4.528140411182344,2569.672114045563
68.75392336761246,2614.263356472836
139.46083868772288,2679.988095037342
218.14489352061005,2759.7933428474907
306.74050800171347,2850.861063954243
388.6507693061669,2963.5277879677888
469.55270953387736,3068.6686062281397
551.4831299176603,3179.7157196479893
641.8118653943061,3319.7004127017453
698.1370936128629,3445.789478237488
701.6676958117374,3511.734276943052
721.087961599298,3550.6061554319194
785.2310615921343,3582.286651415333
855.8555356059791,3635.6433692147743
928.6830413849084,3706.957804490886
