x,y
583.2403098935998,-2221.651324492
563.8222568284389,-2221.746504335572
545.629229464003,-2226.6530241181226
527.6032353600348,-2236.240797092107
506.4685658073937,-2246.7669013595814
482.4575808426999,-2257.1223273542505
455.3453961690116,-2265.4456732286344
429.81448353518033,-2273.0876909481594
408.94205556180475,-2278.426661389756
392.49812786158355,-2281.227146073772
378.5925293500771,-2287.9224535582775
363.9028809733066,-2298.6296435029326
349.6065254787145,-2311.571730322122
333.80584486188025,-2325.27788369257
314.14428888457917,-2340.1478257119516
291.1192250065993,-2353.2386013913933
269.40480415345303,-2360.6939155069817
246.77833066803328,-2363.092973245732
219.6841921673113,-2361.8629256205118
188.03044745068348,-2357.1214078360235
151.94651496856034,-2347.198229579129
111.63624058197782,-2329.7258954035037
67.95074882937043,-2305.148169053499
20.7461167476347,-2274.986238802005
-29.120791560752114,-2241.620316973107
-84.1361326514435,-2209.7413727157277
-144.78816721333936,-2179.1226117400906
-203.12480292929084,-2153.383879355771
-260.8807450380934,-2133.042581580621
-318.37656026187045,-2118.4144545553722
-373.4425192776358,-2109.2371635610907
-426.50399980933327,-2103.2479325783615
-479.50085129638245,-2100.1182567902038
-536.4337274261352,-2100.149312327926
-596.6183447146507,-2100.8275545039164
-659.9464374063234,-2104.082367445063
-726.7359348333331,-2107.0450382028694
-794.5182782186516,-2109.263873683265
-863.8896496104663,-2112.3508612023675
-938.5318387905786,-2111.9588477831862
-1010.6727946350571,-2106.010169077104
-1077.7652465449005,-2093.4684943041025
-1142.9776951038182,-2080.757516540464
-1208.7936992571736,-2068.4293810632425
-1274.98091540121,-2055.6794932783605
-1338.1966009847777,-2044.381240725517
-1400.818578364843,-2030.6739212860275
-1467.3081027163666,-2018.2538373482855
-1534.9153987701238,-2009.5987995127748
-1599.454193686371,-2009.1703140902978
-1663.2851842760851,-2019.4056953886086
-1725.445272076176,-2035.479145116093
-1787.941457120564,-2054.871837264163
-1850.5291074647766,-2077.5447514552257
-1912.220423545105,-2103.005129080485
-1970.480028366417,-2127.9040184132377
-2029.7475084989717,-2151.303232858745
-2092.042091253093,-2174.850164178958
-2157.434076064701,-2199.194713018616
-2221.502866504582,-2222.2649388011305
-2283.5976986807277,-2241.444301256831
-2342.2652074006446,-2257.7896958313845
-2395.728635439087,-2272.029485555013
-2459.0244231451456,-2288.3472749974494
-2517.822165473621,-2303.600802702064
-2578.4810479971075,-2314.5779626727576
-2642.5198754982825,-2325.810441850337
-2708.860655753631,-2341.3391612220207
-2767.551346017486,-2371.051264109985
-2819.5552204668325,-2406.454360156093
-2870.1357691106205,-2437.027888792096
-2920.241162497273,-2469.094545976244
-2968.3232102733787,-2506.4294518166203
-3015.2232206081494,-2547.0219744715637
-3061.1794768177156,-2590.913376319716
-3108.5355146722645,-2634.5343416370056
-3156.7754834412713,-2680.086156139507
-3204.6040392372065,-2729.879028915681
-3256.013160115147,-2781.141954018271
-3308.34771853216,-2830.5930885241582
-3363.0187767177604,-2875.5214751749436
-3418.0079072282706,-2916.286544361876
-3470.623552456893,-2954.1668117220474
-3525.2838798158564,-2994.071140233914
-3579.3147453258134,-3033.6556445019737
-3627.4779856890473,-3071.49797224127
-3677.0958855428325,-3111.971561637142
-3728.548144901884,-3155.3150478156294
-3769.626032739842,-3201.4262273530217
-3803.7136769987346,-3248.597899048845
-3834.419403042662,-3297.2959114204778
-3866.9871142855936,-3352.9230705708464
-3889.3177755934694,-3399.0272703856217
-3914.9334726296174,-3451.887693676452
-3938.398234626857,-3504.881573354213
-3960.7135094247515,-3554.790241513384
-3981.574785030844,-3608.319237627939
-4002.1790173214076,-3665.7108992646054
-4024.820257190959,-3717.081301686465
-4051.8559701525965,-3762.871899392046
