x,y
-309.4208015250002,2874.059027035
-325.4819044416973,2866.479118683989
-345.3624372187761,2858.0314002997543
-368.06593489952087,2849.0311984773043
-393.4399282587696,2839.9563509560235
-421.8562920051332,2830.9000196989514
-453.77017004287694,2821.9717024076795
-489.60834148918684,2812.665824006301
-528.0728447822297,2802.3722757463624
-567.5933694537008,2788.7442313954184
-606.550227781168,2770.63250957223
-645.7305402420492,2746.3918227264344
-681.9704355947276,2713.8586237643226
-713.3061707455303,2676.3127842126974
-741.5958210311518,2633.996865142415
-766.2011442745892,2586.106442841102
-788.5416078655971,2534.6013608232647
-809.289666001936,2481.309084795913
-830.9308009499819,2425.753912101687
-857.3637039265648,2368.1240033941417
-889.9628272199166,2310.941260157451
-924.9730546569665,2255.2593662359263
-962.6052859067471,2197.965844718813
-1002.1523963273263,2136.731381531625
-1042.407470959357,2073.269358171369
-1080.6415694764653,2005.7677573488145
-1115.335838376403,1935.1069698777962
-1139.9974149919872,1864.2224460309164
-1156.7635583689248,1793.9294571517353
-1167.704486181782,1725.377852330928
-1175.6209152529805,1658.4335842527942
-1179.1438379143174,1586.0155883129644
-1176.6482609467473,1510.0593706350232
-1169.1771248597984,1431.5232292898424
-1158.876784972725,1349.568152401333
-1152.3383141706954,1264.7051650793062
-1148.911190669476,1182.4017522310417
-1145.8788119319725,1101.68190811595
-1142.481050124542,1020.2787613766444
-1137.9355409352986,938.6048921534631
-1131.530596560288,856.4177856319827
-1123.0045722244076,772.9886858812446
-1108.4757806797197,692.0788770258642
-1086.6068342482833,615.3530541885232
-1060.5215224781007,540.5518611166201
-1030.2931544013595,465.08411251150903
-996.4291909612251,389.15646666000737
-958.7530329734328,313.72862632448897
-916.7497014346253,239.15314679106652
-871.1790845794519,161.6216688686587
-832.3298113785493,78.50840090990795
-802.4759174799469,-4.440561187493597
-773.9253390802245,-85.5796315532705
-744.4628346391845,-165.8843349295002
-713.4189536879279,-246.1497580574128
-679.2982814309106,-326.68486097187593
-643.6057675959097,-408.04761595667696
-602.8741094759592,-483.080881686924
-558.5397553550753,-551.4301652889512
-513.2911443962428,-614.9721346922142
-466.2195256527195,-676.2824988411686
-416.3181023015189,-734.4857799197413
-364.1909987210583,-790.3000427735757
-309.7128900545602,-842.9959837507719
-257.5498649260136,-896.3591076634341
-212.42882133375517,-954.29544295092
-173.21573399585085,-1013.6781083467025
-135.27320174500167,-1076.7036197812654
-96.8569705116995,-1143.1178348468648
-57.77764216937151,-1209.3395805020689
-17.777671619189245,-1273.0273039542653
23.266841166261404,-1335.6128045115427
65.81457307586611,-1393.2126782446087
113.52599531193125,-1445.4534850676773
164.92621349395247,-1493.1578044969683
219.0352459253051,-1537.4485391336852
276.71566422012944,-1580.6055725180372
335.8612467997182,-1623.5618234330366
397.7331997235983,-1664.8679621350443
462.5335881425974,-1704.6598005268597
522.0876704611379,-1746.7295276482175
575.6459754849393,-1789.455863512706
625.9239054356932,-1831.7889948022673
675.0233310719434,-1875.2078585166712
721.6795897086222,-1918.4943857094174
767.0051369895411,-1963.2654276057576
814.7497657803387,-2010.3200067882908
862.9940286753119,-2059.156786241381
913.1860770434214,-2103.9843083309324
962.170570916529,-2144.4419682873786
1008.7491591985488,-2179.2304937479366
1054.5723803684346,-2211.3728612237237
1101.568048218703,-2242.2424867739555
1150.0770326124114,-2272.6347021703
1199.2812901704453,-2300.8625590352785
1246.3570593822826,-2324.9306542177055
1287.963133551143,-2349.165902895644
1326.16785636415,-2377.124788227935
1358.9275499420207,-2407.8136161493053
1386.2478287685567,-2438.9708371559313
