x,y
1509.6295589114002,1088.3720023801
1507.4866629624105,1085.837900692325
1505.6059245446197,1084.3136999604287
1504.2809711166565,1082.695910144391
1502.322752635071,1080.905243044429
1497.471214690674,1079.9993998031816
1488.1456773331445,1079.39385986311
1474.450834522929,1079.6800650642451
1457.6100602045017,1084.414451765102
1437.3021749207358,1093.0392667602305
1411.6102324123024,1107.8378918573546
1380.3888301850443,1133.678843900062
1345.1631590757324,1168.1067065121872
1304.4795209988029,1204.4671338873159
1258.3146767673886,1236.921487554353
1209.38844685184,1265.2049583558437
1157.3363411521377,1284.5715168614452
1101.295178846521,1289.7087381758345
1038.9865081301728,1283.5074509599162
970.4268723140399,1267.3037293918708
896.8795769255607,1241.2719336786713
817.084069915619,1214.8016503461115
732.8116512168901,1200.0967963246283
650.5567570505214,1195.4784038717762
567.8033118625726,1189.2673135815237
488.18273948585954,1177.7820452295007
402.1615134094675,1160.7167545016302
304.59441614308923,1138.4964065586123
209.45912055120132,1106.113906347359
116.41982327236859,1065.0022696490846
31.74265494625876,1012.2981365157254
-46.478868983761146,955.1242670265137
-125.65780892549722,894.8405841578107
-208.8391955020973,828.0490600151476
-292.2807880321458,760.4008156002565
-380.59848694204373,708.2772502817268
-472.3007348781082,662.9234608113325
-568.9112852077421,613.5295601051532
-666.69004925736,563.056483776911
-766.2166709712703,508.10084162408987
-861.7493575298992,447.298202723971
-944.1597193526779,383.8685117359214
-1020.9642603143354,317.3072507704117
-1095.2815472875516,245.5674229242855
-1167.63388733316,171.13404641757052
-1239.68638917147,90.08173659417575
-1317.4245531376976,9.926272145914167
-1399.8107975474754,-61.62176992796718
-1482.3583270034494,-130.86218113834138
-1570.3529108243818,-199.4894444885038
-1658.33117377773,-267.8104928096803
-1751.7272483514398,-340.7278843246037
-1832.0689535924616,-419.77756231114705
-1902.411470719496,-503.90849073470446
-1969.1602682594007,-585.0024699710501
-2034.9215311690511,-669.7894575339365
-2099.8578375637658,-758.6134876362971
-2170.8938149266623,-854.4020711510336
-2249.7249505451773,-941.7721640403723
-2331.376566993206,-1021.2072110444881
-2414.090976272529,-1097.8165085635057
-2496.495126942235,-1172.2122492770848
-2580.486374377249,-1251.6211759338728
-2659.4881580692704,-1336.0051706574973
-2729.3634413273967,-1421.3960092410916
-2793.781952603504,-1502.8241305955496
-2856.1244394704636,-1585.901826389473
-2917.138505677467,-1673.088529413691
-2976.1457642296564,-1766.3499591517445
-3042.4595887873256,-1856.289454994684
-3113.4862172777816,-1939.5497605179137
-3184.087701802177,-2022.2479705312305
-3254.2235123995874,-2105.497686867174
-3320.346750841041,-2188.9315519025185
-3387.811788272739,-2276.513411491975
-3449.1679740910554,-2374.104776560852
-3501.313556916149,-2469.6769222856274
-3546.808618248213,-2562.4992411734047
-3587.944599760174,-2654.7206078832323
-3626.8389414869926,-2748.0325603266015
-3665.447084513672,-2847.764261088966
-3711.6860927799644,-2946.2901252618244
-3760.336589311617,-3040.0008359926196
-3811.729055338001,-3132.292724579321
-3864.010663531915,-3226.226548928142
-3913.8382176891996,-3317.7816779543864
-3959.124266390553,-3408.079233284662
-3993.6288862487727,-3500.207889706699
-4022.795715980913,-3595.2936587400322
-4046.843822612045,-3690.4181585806523
-4067.177519494365,-3787.3521768464147
-4085.9653467382473,-3880.582589807746
-4104.848876760625,-3976.568065994695
-4130.622909941312,-4068.551694765821
-4161.23419840971,-4158.531168708436
-4194.525538426985,-4247.652629913298
-4231.301411914808,-4332.750626029873
-4270.126602512971,-4415.548091346737
-4312.839845513427,-4501.801068377604
-4353.365369414414,-4586.005039763644
