x,y
-4806.241,-4178.594
-4774.716080489215,-4104.807047074497
-4738.36298904999,-4037.591043666709
-4700.253911377519,-3970.372597292317
-4661.230260923836,-3901.5672217316883
-4617.256537291394,-3837.831436500437
-4570.2644369213685,-3771.0406902487393
-4524.382410030994,-3705.423946194481
-4480.932766800189,-3640.726499253548
-4438.137745830022,-3573.300524090991
-4399.783383993431,-3504.1056376673378
-4364.874917067139,-3435.0698426782697
-4331.034909042074,-3366.7921414047364
-4295.489460754831,-3293.628170215023
-4244.099821381773,-3220.599143612455
-4201.353801025802,-3148.771947907987
-4164.773259210155,-3078.660275081918
-4116.653881014861,-3009.7061273146383
-4065.8022584158443,-2940.6996866750465
-4015.8943768254335,-2876.1581572802625
-3962.1586692877404,-2814.0338050054056
-3905.6295054416737,-2751.6320749781544
-3852.4432726256587,-2690.588801386425
-3799.906037206552,-2629.497014128977
-3746.7672403046386,-2567.290373133135
-3696.5635356323223,-2506.7770509186225
-3646.4587213425466,-2445.910660047611
-3592.5391193554724,-2380.971372780439
-3538.172117563971,-2315.8997300725737
-3478.5666687549033,-2254.456639478167
-3411.0326593359414,-2199.081059366146
-3342.2176254172496,-2149.880778511695
-3276.1526520708862,-2105.218174017268
-3211.2243227499685,-2063.0736094855292
-3143.3349249402595,-2020.5358833639928
-3074.492832989193,-1977.3096349619675
-3008.098999447051,-1934.733560202744
-2942.1571182013026,-1889.566660653976
-2879.0994506249995,-1842.1148011075195
-2823.757179524411,-1797.704852621183
-2767.1723108685273,-1747.7002471417015
-2711.3666406583643,-1694.868712657478
-2654.5910005558853,-1639.1981889134004
-2596.8360513748266,-1580.3809736351852
-2537.831238113077,-1519.9331170468236
-2475.964401079225,-1461.4735360620243
-2414.268440328106,-1409.0002629555404
-2351.430604616677,-1358.557034109697
-2286.9797360322677,-1308.1713980475308
-2220.2609200543607,-1257.4794194824062
-2153.369061917905,-1205.104597754783
-2087.4379758955447,-1152.836404504575
-2025.1292264540903,-1098.6445244991196
-1967.7174085162815,-1042.0143985848108
-1916.914813892595,-982.3753471310189
-1870.8960063644527,-917.5666306675331
-1827.5459644240636,-847.6337625333102
-1785.7445104739913,-775.1300982521246
-1745.7835762362647,-701.248539382182
-1701.8203516717513,-627.5912302490167
-1652.1028633160095,-557.5954389920132
-1600.6427092926772,-492.01479879061935
-1547.3223172024425,-427.64446472395554
-1491.4777210192633,-364.2184804543731
-1435.7278882737226,-303.04833076248946
-1380.3534470335546,-241.60246258582004
-1327.008268819066,-179.8640824800581
-1276.2892452911126,-118.23215463520563
-1229.2765437616345,-56.82025487581517
-1185.5320507652864,4.674074874243626
-1142.0291160568634,68.22505621160596
-1097.572141876687,133.47004897005237
-1053.164086379216,200.59673925462224
-1007.582497546073,269.57201770872115
-954.4012756174433,336.63302206436504
-898.6699516257939,397.03013584930034
-842.8759399378475,452.0765628457449
-783.9304061808258,505.9294123096628
-722.9441303987154,557.2291737755069
-662.1088984522386,605.098160084493
-599.5795064232798,652.9175955680164
-537.4575910660218,702.3825640279572
-475.73858567072824,753.4840467233405
-415.76176255412133,806.1826991153624
-359.93355805398164,858.6305913798107
-305.1541576550751,911.0187747764351
-249.64982862489302,963.5665780879846
-193.6367015742205,1017.7759299878647
-138.60699765521494,1074.939122030562
-76.98850263485801,1131.3786154146048
-12.409035453498243,1180.92848329441
53.61813695160856,1223.7597106105243
122.46799617301087,1262.2595398110022
190.63616896094504,1295.2543105665632
259.32450035036607,1323.80756928971
327.6699242089236,1351.2639671704476
395.02147163635624,1377.201727414161
462.01430896262156,1403.41917233686
524.9527012996754,1431.417852601211
586.5906020481594,1461.0872077242668
